# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 23.039, 431
5, 23.064, 549
4, 23.090, 422
5, 23.115, 540
4, 23.140, 414
5, 23.166, 532
4, 23.191, 406
5, 23.217, 525
4, 23.241, 401
5, 23.267, 519
4, 23.293, 396
5, 23.318, 515
4, 23.343, 394
5, 23.368, 512
4, 23.394, 394
5, 23.420, 512
4, 23.444, 396
5, 23.470, 513
4, 23.495, 400
5, 23.521, 516
4, 23.546, 406
5, 23.571, 521
4, 23.597, 414
5, 23.622, 528
4, 23.647, 422
5, 23.673, 536
4, 23.698, 431
5, 23.724, 545
4, 23.748, 441
5, 23.774, 553
4, 23.800, 450
5, 23.825, 561
4, 23.850, 459
5, 23.875, 570
4, 23.901, 466
5, 23.926, 577
4, 23.951, 472
5, 23.977, 583
4, 24.002, 475
5, 24.028, 587
4, 24.052, 478
5, 24.078, 590
4, 24.104, 477
5, 24.129, 590
4, 24.154, 475
5, 24.179, 588
4, 24.205, 471
5, 24.231, 584
4, 24.255, 465
5, 24.281, 580
4, 24.306, 457
5, 24.332, 573
4, 24.357, 448
5, 24.382, 565
4, 24.408, 440
5, 24.433, 557
4, 24.458, 431
5, 24.484, 548
4, 24.509, 422
5, 24.535, 539
4, 24.559, 414
5, 24.585, 531
4, 24.611, 407
5, 24.636, 524
4, 24.661, 401
5, 24.686, 517
4, 24.712, 398
5, 24.738, 514
4, 24.762, 396
5, 24.788, 512
4, 24.813, 396
5, 24.839, 512
4, 24.863, 399
5, 24.889, 513
4, 24.915, 403
5, 24.940, 517
4, 24.965, 409
5, 24.990, 523
4, 25.016, 416
5, 25.042, 529
4, 25.066, 424
5, 25.092, 537
4, 25.117, 433
5, 25.143, 545
4, 25.168, 442
5, 25.193, 555
4, 25.219, 451
5, 25.244, 563
4, 25.269, 459
5, 25.295, 571
4, 25.320, 465
5, 25.346, 578
4, 25.370, 470
5, 25.396, 584
4, 25.422, 474
5, 25.447, 587
4, 25.472, 476
5, 25.497, 590
4, 25.523, 475
5, 25.549, 590
4, 25.573, 472
5, 25.599, 588
4, 25.624, 468
5, 25.650, 584
4, 25.674, 463
5, 25.700, 578
4, 25.726, 455
5, 25.751, 572
4, 25.776, 447
5, 25.801, 563
4, 25.827, 439
5, 25.853, 555
4, 25.877, 431
5, 25.903, 546
4, 25.928, 422
5, 25.954, 537
4, 25.979, 415
5, 26.004, 529
4, 26.030, 409
5, 26.055, 522
4, 26.080, 403
5, 26.106, 517
4, 26.131, 400
5, 26.157, 514
4, 26.181, 399
5, 26.207, 511
4, 26.233, 399
5, 26.258, 512
4, 26.283, 402
5, 26.308, 513
4, 26.334, 406
5, 26.360, 518
4, 26.384, 411
5, 26.410, 524
4, 26.435, 419
5, 26.461, 530
4, 26.485, 426
5, 26.511, 538
4, 26.537, 435
5, 26.562, 547
4, 26.587, 443
5, 26.612, 556
4, 26.638, 451
5, 26.664, 565
4, 26.688, 458
5, 26.714, 572
4, 26.739, 465
5, 26.765, 579
4, 26.790, 469
5, 26.815, 585
4, 26.841, 472
5, 26.866, 588
4, 26.891, 474
5, 26.917, 589
4, 26.942, 473
