# Created on 2026-03-12 16:04:06.822553+01:00 (1773327846.822553 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 20.912, 429
5, 20.936, 636
4, 20.962, 442
5, 20.987, 654
4, 21.013, 459
5, 21.038, 666
4, 21.063, 477
5, 21.089, 670
4, 21.114, 496
5, 21.140, 670
4, 21.165, 515
5, 21.190, 661
4, 21.216, 533
5, 21.241, 646
4, 21.266, 548
5, 21.291, 625
4, 21.317, 561
5, 21.343, 600
4, 21.367, 570
5, 21.393, 573
4, 21.418, 573
5, 21.444, 542
4, 21.469, 574
5, 21.494, 512
4, 21.520, 569
5, 21.545, 484
4, 21.570, 560
5, 21.596, 458
4, 21.621, 547
5, 21.647, 437
4, 21.671, 530
5, 21.697, 422
4, 21.723, 510
5, 21.748, 413
4, 21.773, 489
5, 21.798, 410
4, 21.824, 468
5, 21.850, 414
4, 21.874, 447
5, 21.900, 425
4, 21.925, 428
5, 21.951, 441
4, 21.976, 413
5, 22.001, 463
4, 22.027, 400
5, 22.052, 488
4, 22.077, 392
5, 22.102, 516
4, 22.128, 389
5, 22.154, 544
4, 22.178, 392
5, 22.204, 572
4, 22.229, 399
5, 22.255, 598
4, 22.280, 410
5, 22.305, 621
4, 22.331, 427
5, 22.356, 638
4, 22.381, 447
5, 22.407, 650
4, 22.432, 468
5, 22.458, 656
4, 22.482, 492
5, 22.508, 656
4, 22.534, 515
5, 22.559, 650
4, 22.584, 537
5, 22.609, 639
4, 22.635, 556
5, 22.661, 621
4, 22.685, 572
5, 22.711, 600
4, 22.736, 583
5, 22.762, 575
4, 22.787, 590
5, 22.812, 549
4, 22.838, 591
5, 22.863, 522
4, 22.888, 587
5, 22.914, 496
4, 22.939, 577
5, 22.965, 473
4, 22.989, 562
5, 23.015, 454
4, 23.040, 543
5, 23.066, 439
4, 23.091, 521
5, 23.116, 430
4, 23.142, 496
5, 23.167, 426
4, 23.192, 471
5, 23.218, 429
4, 23.243, 446
5, 23.269, 436
4, 23.293, 424
5, 23.319, 449
4, 23.345, 404
5, 23.370, 468
4, 23.395, 389
5, 23.420, 489
4, 23.446, 378
5, 23.472, 512
4, 23.496, 374
5, 23.522, 537
4, 23.547, 375
5, 23.573, 562
4, 23.598, 382
5, 23.623, 584
4, 23.649, 394
5, 23.674, 605
4, 23.699, 412
5, 23.725, 621
4, 23.750, 433
5, 23.776, 633
4, 23.800, 458
5, 23.826, 639
4, 23.851, 484
5, 23.877, 641
4, 23.902, 512
5, 23.927, 637
4, 23.953, 537
5, 23.978, 628
4, 24.003, 560
5, 24.029, 614
4, 24.054, 579
5, 24.080, 596
4, 24.104, 594
5, 24.130, 576
4, 24.156, 603
5, 24.181, 553
4, 24.206, 606
5, 24.231, 532
4, 24.257, 603
5, 24.283, 509
4, 24.307, 593
5, 24.333, 488
4, 24.358, 577
5, 24.384, 472
4, 24.409, 558
5, 24.434, 458
4, 24.460, 533
5, 24.485, 449
4, 24.510, 506
5, 24.536, 445
4, 24.561, 478
5, 24.587, 445
4, 24.611, 450
5, 24.637, 451
4, 24.662, 424
5, 24.688, 460
4, 24.713, 399
5, 24.738, 475
4, 24.764, 382
5, 24.789, 491
4, 24.814, 369
5, 24.840, 511
4, 24.865, 362
5, 24.891, 532
4, 24.915, 361
5, 24.941, 553
4, 24.967, 367
5, 24.992, 571
4, 25.017, 379
5, 25.042, 588
4, 25.068, 398
5, 25.094, 602
4, 25.118, 421
5, 25.144, 614
4, 25.169, 447
5, 25.195, 620
4, 25.220, 476
5, 25.245, 622
4, 25.271, 506
5, 25.296, 620
4, 25.321, 535
5, 25.347, 614
4, 25.372, 561
5, 25.398, 604
4, 25.422, 583
5, 25.448, 589
4, 25.474, 601
5, 25.499, 574
4, 25.524, 612
5, 25.549, 556
4, 25.575, 617
5, 25.600, 538
4, 25.625, 616
5, 25.651, 519
4, 25.676, 606
5, 25.702, 503
4, 25.726, 591
5, 25.752, 489
4, 25.778, 570
5, 25.803, 477
4, 25.828, 545
5, 25.853, 468
4, 25.879, 515
5, 25.905, 464
4, 25.929, 485
5, 25.955, 464
4, 25.980, 454
5, 26.006, 467
4, 26.031, 425
5, 26.056, 475
4, 26.082, 399
5, 26.107, 485
4, 26.132, 378
5, 26.158, 498
4, 26.183, 362
5, 26.209, 512
4, 26.233, 353
5, 26.259, 528
4, 26.285, 352
5, 26.310, 545
4, 26.335, 355
5, 26.360, 560
4, 26.386, 367
5, 26.411, 574
4, 26.436, 385
5, 26.462, 586
4, 26.487, 409
5, 26.513, 595
4, 26.537, 436
5, 26.563, 600
4, 26.589, 467
5, 26.614, 602
4, 26.639, 498
5, 26.664, 601
4, 26.690, 530
5, 26.716, 597
4, 26.740, 559
5, 26.766, 590
4, 26.791, 584
5, 26.817, 580
4, 26.842, 604
5, 26.867, 569
4, 26.893, 618
5, 26.918, 556
4, 26.943, 625
5, 26.969, 542
4, 26.994, 625
5, 27.020, 529
4, 27.044, 617
5, 27.070, 517
4, 27.096, 603
5, 27.121, 506
4, 27.146, 582
5, 27.171, 496
4, 27.197, 556
5, 27.222, 489
4, 27.247, 526
5, 27.273, 486
4, 27.298, 494
5, 27.324, 485
4, 27.348, 461
5, 27.374, 487
4, 27.400, 430
5, 27.425, 491
4, 27.450, 400
5, 27.475, 497
4, 27.501, 376
5, 27.527, 506
4, 27.551, 358
5, 27.577, 517
4, 27.602, 347
5, 27.628, 528
4, 27.653, 343
5, 27.678, 539
4, 27.704, 346
5, 27.729, 549
4, 27.754, 357
5, 27.780, 560
4, 27.805, 374
5, 27.831, 568
4, 27.855, 397
5, 27.881, 575
4, 27.907, 426
5, 27.932, 579
4, 27.957, 457
5, 27.982, 581
4, 28.008, 490
5, 28.034, 581
4, 28.058, 523
5, 28.084, 580
4, 28.109, 554
5, 28.135, 575
4, 28.159, 582
5, 28.185, 569
4, 28.211, 604
5, 28.236, 561
4, 28.261, 620
5, 28.286, 553
4, 28.312, 629
5, 28.338, 545
4, 28.362, 630
5, 28.388, 535
4, 28.413, 625
5, 28.439, 527
4, 28.464, 610
5, 28.489, 520
4, 28.515, 591
5, 28.540, 513
4, 28.565, 565
5, 28.591, 509
4, 28.616, 535
5, 28.642, 507
