# Created on 2026-03-12 15:44:28.043422+01:00 (1773326668.043422 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 23.698, 506
5, 23.723, 497
4, 23.748, 505
5, 23.774, 492
4, 23.800, 505
5, 23.824, 488
4, 23.850, 505
5, 23.875, 484
4, 23.901, 505
5, 23.926, 482
4, 23.951, 506
5, 23.977, 481
4, 24.002, 506
5, 24.027, 481
4, 24.052, 507
5, 24.078, 483
4, 24.104, 505
5, 24.128, 486
4, 24.154, 505
5, 24.179, 489
4, 24.205, 506
5, 24.230, 494
4, 24.255, 505
5, 24.281, 498
4, 24.306, 506
5, 24.331, 504
4, 24.357, 506
5, 24.382, 510
4, 24.408, 506
5, 24.432, 516
4, 24.458, 506
5, 24.484, 520
4, 24.509, 505
5, 24.534, 524
4, 24.559, 506
5, 24.585, 527
4, 24.611, 506
5, 24.635, 530
4, 24.661, 506
5, 24.686, 530
4, 24.712, 506
5, 24.737, 531
4, 24.762, 506
5, 24.788, 529
4, 24.813, 505
5, 24.838, 527
4, 24.863, 506
5, 24.889, 522
4, 24.915, 505
5, 24.939, 518
4, 24.965, 506
5, 24.990, 513
4, 25.016, 506
5, 25.041, 507
4, 25.066, 505
5, 25.092, 503
4, 25.117, 505
5, 25.142, 497
4, 25.168, 506
5, 25.193, 492
4, 25.219, 506
5, 25.243, 488
4, 25.269, 506
5, 25.295, 485
4, 25.320, 505
5, 25.345, 484
4, 25.370, 505
5, 25.396, 482
4, 25.422, 505
5, 25.446, 482
4, 25.472, 505
5, 25.497, 484
4, 25.523, 506
5, 25.548, 486
4, 25.573, 506
5, 25.599, 490
4, 25.624, 505
5, 25.649, 495
4, 25.675, 506
5, 25.700, 500
4, 25.726, 505
5, 25.750, 505
4, 25.776, 506
5, 25.801, 510
4, 25.827, 506
5, 25.852, 514
4, 25.877, 506
5, 25.903, 520
4, 25.928, 506
5, 25.953, 524
4, 25.979, 506
5, 26.004, 527
4, 26.030, 506
5, 26.054, 529
4, 26.080, 505
5, 26.106, 529
4, 26.131, 505
5, 26.156, 529
4, 26.181, 506
5, 26.207, 528
4, 26.233, 506
5, 26.257, 525
4, 26.283, 506
5, 26.308, 522
4, 26.334, 506
5, 26.359, 518
4, 26.384, 506
5, 26.410, 513
4, 26.435, 505
5, 26.461, 508
4, 26.486, 505
5, 26.511, 502
4, 26.537, 506
5, 26.562, 497
4, 26.587, 506
5, 26.612, 492
4, 26.638, 506
5, 26.664, 489
4, 26.688, 505
5, 26.714, 486
4, 26.739, 506
5, 26.765, 484
4, 26.790, 506
5, 26.815, 483
4, 26.841, 505
5, 26.866, 484
4, 26.891, 506
5, 26.917, 485
4, 26.942, 506
5, 26.968, 488
4, 26.992, 506
5, 27.018, 491
4, 27.044, 505
5, 27.069, 495
4, 27.094, 506
5, 27.119, 500
4, 27.145, 506
5, 27.171, 504
4, 27.195, 505
5, 27.221, 511
4, 27.246, 506
5, 27.272, 515
4, 27.297, 505
5, 27.322, 520
4, 27.348, 505
5, 27.373, 523
4, 27.398, 506
5, 27.423, 526
4, 27.449, 505
5, 27.475, 528
4, 27.499, 506
5, 27.525, 528
4, 27.550, 505
5, 27.576, 527
4, 27.601, 505
5, 27.626, 527
4, 27.652, 506
5, 27.677, 524
4, 27.702, 506
5, 27.728, 520
4, 27.753, 506
5, 27.779, 517
4, 27.803, 505
5, 27.829, 512
4, 27.855, 505
5, 27.880, 507
4, 27.905, 506
5, 27.930, 502
4, 27.956, 505
5, 27.982, 498
4, 28.006, 506
5, 28.032, 493
4, 28.057, 505
5, 28.083, 490
4, 28.108, 506
5, 28.133, 486
4, 28.159, 507
5, 28.184, 485
4, 28.209, 506
5, 28.235, 485
4, 28.260, 505
5, 28.286, 485
4, 28.310, 506
5, 28.336, 486
4, 28.361, 506
5, 28.387, 489
4, 28.412, 506
5, 28.437, 493
4, 28.463, 505
5, 28.488, 496
4, 28.513, 506
5, 28.539, 499
4, 28.564, 506
5, 28.590, 505
4, 28.614, 506
5, 28.640, 510
4, 28.666, 506
5, 28.691, 515
4, 28.716, 506
5, 28.741, 519
4, 28.767, 506
5, 28.793, 522
4, 28.817, 506
5, 28.843, 525
4, 28.868, 506
5, 28.894, 526
4, 28.919, 506
5, 28.944, 527
4, 28.970, 506
5, 28.995, 527
4, 29.020, 507
5, 29.046, 526
4, 29.071, 506
5, 29.097, 522
4, 29.121, 506
5, 29.147, 520
4, 29.172, 506
5, 29.198, 516
4, 29.223, 506
5, 29.248, 511
4, 29.274, 506
5, 29.299, 507
4, 29.324, 506
5, 29.350, 502
4, 29.375, 506
5, 29.401, 498
4, 29.425, 506
5, 29.451, 493
4, 29.477, 506
